5,0.357681597
6,0.001013596
7,0.001946221
8,0.004004854
9,0.004098996
10,0.009099676
11,0.013691815
12,0.028320392
13,0.042353793
14,0.061052875
15,0.073685976
16,0.112116634
17,0.240060273
18,0.167984239
19,0.389307917
20,0.468448065
21,0.562474645
22,0.5471317
23,0.689459406
24,0.882603884
25,1.341737484
26,3.18702213
27,2.220365851
28,2.413541506
29,3.27604125
30,4.103743917
31,5.459703354
32,5.886217934
33,4.577761785
34,6.526710796
35,6.596937751
36,8.170933241
37,9.41367909
38,10.502290848
39,11.634471193
